G4NDL
ENDF/B-VII.1
MT:454  MF:8  AWR:225.077
nBlock:0
energy of incidence neutron:0.0253          Number of data set followings:1220          interpolation scheme:0
FSP:24066  mFSP:0  Y:0
FSP:24067  mFSP:0  Y:0
FSP:24068  mFSP:0  Y:0
FSP:24070  mFSP:0  Y:0
FSP:25066  mFSP:0  Y:6.97001e-13
FSP:25067  mFSP:0  Y:1.35e-13
FSP:25068  mFSP:0  Y:1.01e-14
FSP:25069  mFSP:0  Y:0
FSP:25070  mFSP:0  Y:0
FSP:25071  mFSP:0  Y:0
FSP:26066  mFSP:0  Y:2.57e-10
FSP:26067  mFSP:0  Y:1.13e-10
FSP:26068  mFSP:0  Y:6.08001e-11
FSP:26069  mFSP:0  Y:1.23e-11
FSP:26070  mFSP:0  Y:1.74e-12
FSP:26071  mFSP:0  Y:9.67001e-14
FSP:26072  mFSP:0  Y:0
FSP:26073  mFSP:0  Y:0
FSP:26074  mFSP:0  Y:0
FSP:26076  mFSP:0  Y:0
FSP:27066  mFSP:0  Y:3.23e-10
FSP:27067  mFSP:0  Y:8.12001e-10
FSP:27068  mFSP:0  Y:8.95001e-10
FSP:27069  mFSP:0  Y:1.24e-09
FSP:27070  mFSP:0  Y:4.09e-10
FSP:27071  mFSP:0  Y:1.71e-10
FSP:27072  mFSP:0  Y:2.9e-11
FSP:27073  mFSP:0  Y:2.19e-12
FSP:27074  mFSP:0  Y:7.12001e-14
FSP:27075  mFSP:0  Y:0
FSP:27076  mFSP:0  Y:0
FSP:27077  mFSP:0  Y:5.35121e-18
FSP:28066  mFSP:0  Y:2.71e-10
FSP:28067  mFSP:0  Y:1.21e-09
FSP:28068  mFSP:0  Y:7.02001e-09
FSP:28069  mFSP:0  Y:1.83e-08
FSP:28070  mFSP:0  Y:3.57e-08
FSP:28071  mFSP:0  Y:3.28e-08
FSP:28072  mFSP:0  Y:3.94e-08
FSP:28073  mFSP:0  Y:7.05001e-09
FSP:28074  mFSP:0  Y:1.74e-09
FSP:28075  mFSP:0  Y:2.39e-10
FSP:28076  mFSP:0  Y:2.67e-11
FSP:28077  mFSP:0  Y:1.3e-12
FSP:28078  mFSP:0  Y:3.69e-14
FSP:28079  mFSP:0  Y:3.51154e-15
FSP:28080  mFSP:0  Y:0
FSP:28082  mFSP:0  Y:0
FSP:29066  mFSP:0  Y:7.76001e-13
FSP:29067  mFSP:0  Y:2.23e-11
FSP:29068  mFSP:0  Y:7.68001e-11
FSP:29068  mFSP:1  Y:1.79e-10
FSP:29069  mFSP:0  Y:3.8e-09
FSP:29070  mFSP:0  Y:3.24e-09
FSP:29070  mFSP:1  Y:9.71001e-09
FSP:29071  mFSP:0  Y:6.54001e-08
FSP:29072  mFSP:0  Y:1.53e-07
FSP:29073  mFSP:0  Y:1.68e-07
FSP:29074  mFSP:0  Y:9.47001e-08
FSP:29075  mFSP:0  Y:9.42001e-08
FSP:29076  mFSP:0  Y:2.53e-08
FSP:29077  mFSP:0  Y:9.43001e-09
FSP:29078  mFSP:0  Y:6.72001e-10
FSP:29079  mFSP:0  Y:3.75997e-10
FSP:29080  mFSP:0  Y:9.89001e-12
FSP:29081  mFSP:0  Y:2.02e-13
FSP:29082  mFSP:0  Y:0
FSP:30066  mFSP:0  Y:0
FSP:30067  mFSP:0  Y:5.02e-14
FSP:30068  mFSP:0  Y:4.04e-12
FSP:30069  mFSP:0  Y:2.61e-11
FSP:30069  mFSP:1  Y:1.11e-10
FSP:30070  mFSP:0  Y:2.91e-09
FSP:30071  mFSP:0  Y:5.49e-09
FSP:30071  mFSP:1  Y:2.34e-08
FSP:30072  mFSP:0  Y:3.73e-07
FSP:30073  mFSP:0  Y:7.18001e-07
FSP:30074  mFSP:0  Y:2.28e-06
FSP:30075  mFSP:0  Y:4.59e-06
FSP:30076  mFSP:0  Y:7.86001e-06
FSP:30077  mFSP:0  Y:6.87001e-06
FSP:30078  mFSP:0  Y:3.48e-06
FSP:30079  mFSP:0  Y:4.74e-06
FSP:30080  mFSP:0  Y:9.31001e-07
FSP:30081  mFSP:0  Y:4.78e-08
FSP:30082  mFSP:0  Y:1.28e-09
FSP:30083  mFSP:0  Y:8.55001e-12
FSP:30084  mFSP:0  Y:4.96e-14
FSP:30085  mFSP:0  Y:8.79752e-16
FSP:30086  mFSP:0  Y:0
FSP:31066  mFSP:0  Y:0
FSP:31067  mFSP:0  Y:0
FSP:31068  mFSP:0  Y:0
FSP:31069  mFSP:0  Y:3.65e-14
FSP:31070  mFSP:0  Y:1.84e-12
FSP:31071  mFSP:0  Y:1.3e-10
FSP:31072  mFSP:1  Y:1.855e-09
FSP:31072  mFSP:0  Y:1.855e-09
FSP:31073  mFSP:0  Y:4.27e-08
FSP:31074  mFSP:1  Y:1.285e-07
FSP:31074  mFSP:0  Y:1.285e-07
FSP:31075  mFSP:0  Y:2.81e-06
FSP:31076  mFSP:0  Y:8.51001e-06
FSP:31077  mFSP:0  Y:4.343e-05
FSP:31078  mFSP:0  Y:4.486e-05
FSP:31079  mFSP:0  Y:0.00040211
FSP:31080  mFSP:0  Y:0.00018272
FSP:31081  mFSP:0  Y:6.76101e-05
FSP:31082  mFSP:0  Y:4.44e-06
FSP:31083  mFSP:0  Y:2.32e-07
FSP:31084  mFSP:0  Y:3.4e-09
FSP:31085  mFSP:0  Y:9.41992e-11
FSP:31086  mFSP:0  Y:5.76e-13
FSP:31087  mFSP:0  Y:1.10317e-14
FSP:32066  mFSP:0  Y:0
FSP:32067  mFSP:0  Y:0
FSP:32068  mFSP:0  Y:0
FSP:32069  mFSP:0  Y:0
FSP:32070  mFSP:0  Y:0
FSP:32071  mFSP:0  Y:3.13e-14
FSP:32071  mFSP:1  Y:3.13e-14
FSP:32072  mFSP:0  Y:1.35e-11
FSP:32073  mFSP:0  Y:2.94e-10
FSP:32073  mFSP:1  Y:6.89001e-11
FSP:32074  mFSP:0  Y:1.51e-08
FSP:32075  mFSP:0  Y:4.58e-08
FSP:32075  mFSP:1  Y:3.07e-07
FSP:32076  mFSP:0  Y:6.15001e-06
FSP:32077  mFSP:0  Y:5.017e-05
FSP:32077  mFSP:1  Y:7.50001e-06
FSP:32078  mFSP:0  Y:0.00031345
FSP:32079  mFSP:1  Y:0.00254391
FSP:32079  mFSP:0  Y:0.00254391
FSP:32080  mFSP:0  Y:0.0135566
FSP:32081  mFSP:0  Y:0.010572
FSP:32082  mFSP:0  Y:0.00470041
FSP:32083  mFSP:0  Y:0.000599371
FSP:32084  mFSP:0  Y:6.42001e-05
FSP:32085  mFSP:0  Y:4.24e-06
FSP:32086  mFSP:0  Y:1.96e-07
FSP:32087  mFSP:0  Y:2.67999e-09
FSP:32088  mFSP:0  Y:2.64e-11
FSP:32089  mFSP:0  Y:1.18608e-13
FSP:32090  mFSP:0  Y:1.33145e-14
FSP:33069  mFSP:0  Y:0
FSP:33071  mFSP:0  Y:0
FSP:33072  mFSP:0  Y:0
FSP:33073  mFSP:0  Y:2.03e-14
FSP:33074  mFSP:0  Y:6.43001e-13
FSP:33074  mFSP:1  Y:1.5e-12
FSP:33075  mFSP:0  Y:3.72e-10
FSP:33076  mFSP:0  Y:1.48e-08
FSP:33077  mFSP:0  Y:9.33001e-07
FSP:33078  mFSP:0  Y:1.011e-05
FSP:33079  mFSP:0  Y:0.000911741
