G4NDL
ENDF/B-VI.8
MT:454  MF:8  AWR:230.045
nBlock:1
energy of incidence neutron:500000          Number of data set followings:1309          interpolation scheme:1
FSP:22066  mFSP:0  Y:1.81562e-20
FSP:23066  mFSP:0  Y:9.64206e-16
FSP:23067  mFSP:0  Y:5.95247e-18
FSP:23068  mFSP:0  Y:7.11979e-19
FSP:23069  mFSP:0  Y:1.604e-19
FSP:24066  mFSP:0  Y:3.17896e-12
FSP:24067  mFSP:0  Y:5.55982e-13
FSP:24068  mFSP:0  Y:7.82975e-14
FSP:24069  mFSP:0  Y:1.49819e-14
FSP:24070  mFSP:0  Y:0
FSP:24071  mFSP:0  Y:2.78272e-18
FSP:25066  mFSP:0  Y:5.14988e-10
FSP:25067  mFSP:0  Y:3.81991e-10
FSP:25068  mFSP:0  Y:1.62996e-10
FSP:25069  mFSP:0  Y:2.80844e-11
FSP:25070  mFSP:0  Y:2.28995e-12
FSP:25071  mFSP:0  Y:1.73993e-13
FSP:25072  mFSP:0  Y:1.66401e-15
FSP:25073  mFSP:0  Y:1.03847e-16
FSP:25074  mFSP:0  Y:4.37372e-18
FSP:26066  mFSP:0  Y:7.42983e-09
FSP:26067  mFSP:0  Y:1.46997e-08
FSP:26068  mFSP:0  Y:2.40995e-08
FSP:26069  mFSP:0  Y:1.23997e-08
FSP:26070  mFSP:0  Y:4.16991e-09
FSP:26071  mFSP:0  Y:9.99977e-10
FSP:26072  mFSP:0  Y:1.82994e-10
FSP:26073  mFSP:0  Y:9.69968e-12
FSP:26074  mFSP:0  Y:4.80985e-13
FSP:26075  mFSP:0  Y:5.08567e-15
FSP:26076  mFSP:0  Y:0
FSP:26077  mFSP:0  Y:6.45139e-17
FSP:27066  mFSP:0  Y:3.21993e-09
FSP:27067  mFSP:0  Y:2.10995e-08
FSP:27068  mFSP:0  Y:8.13982e-08
FSP:27069  mFSP:0  Y:1.48997e-07
FSP:27070  mFSP:0  Y:1.32997e-07
FSP:27071  mFSP:0  Y:1.28997e-07
