G4NDL
ENDF/B-VI.8
MT:454  MF:8  AWR:229.051
nBlock:0
energy of incidence neutron:500000          Number of data set followings:1229          interpolation scheme:0
FSP:23066  mFSP:0  Y:3.30602e-16
FSP:23067  mFSP:0  Y:2.12419e-17
FSP:24066  mFSP:0  Y:8.55967e-12
FSP:24067  mFSP:0  Y:5.49979e-13
FSP:24068  mFSP:0  Y:2.41e-14
FSP:24069  mFSP:0  Y:7.14501e-16
FSP:24070  mFSP:0  Y:0
FSP:25066  mFSP:0  Y:6.39e-09
FSP:25067  mFSP:0  Y:1.34e-09
FSP:25068  mFSP:0  Y:1.94e-10
FSP:25069  mFSP:0  Y:1.84993e-11
FSP:25070  mFSP:0  Y:9.4e-13
FSP:25071  mFSP:0  Y:3.4e-14
FSP:25072  mFSP:0  Y:1.22045e-15
FSP:26066  mFSP:0  Y:2.41e-07
FSP:26067  mFSP:0  Y:1.53e-07
FSP:26068  mFSP:0  Y:6.96e-08
FSP:26069  mFSP:0  Y:2.13e-08
FSP:26070  mFSP:0  Y:3.66e-09
FSP:26071  mFSP:0  Y:4.41e-10
FSP:26072  mFSP:0  Y:3.15988e-11
FSP:26073  mFSP:0  Y:1.6e-12
FSP:26074  mFSP:0  Y:4.76e-14
FSP:26075  mFSP:0  Y:2.13964e-15
FSP:26076  mFSP:0  Y:0
FSP:27066  mFSP:0  Y:6.13e-07
FSP:27067  mFSP:0  Y:1.04e-06
FSP:27068  mFSP:0  Y:1.33e-06
FSP:27069  mFSP:0  Y:1.2e-06
FSP:27070  mFSP:0  Y:6.54e-07
FSP:27071  mFSP:0  Y:2.49e-07
FSP:27072  mFSP:0  Y:5.8e-08
FSP:27073  mFSP:0  Y:9.67e-09
FSP:27074  mFSP:0  Y:9.63e-10
FSP:27075  mFSP:0  Y:5.53979e-11
FSP:27076  mFSP:0  Y:1.76e-12
FSP:27077  mFSP:0  Y:4.67322e-14
FSP:28066  mFSP:0  Y:1.24e-07
FSP:28067  mFSP:0  Y:5.56e-07
FSP:28068  mFSP:0  Y:1.85e-06
FSP:28069  mFSP:0  Y:4.38e-06
FSP:28070  mFSP:0  Y:6.66e-06
FSP:28071  mFSP:0  Y:7.27e-06
FSP:28072  mFSP:0  Y:5.07e-06
FSP:28073  mFSP:0  Y:2.63e-06
FSP:28074  mFSP:0  Y:8.39e-07
FSP:28075  mFSP:0  Y:1.63e-07
FSP:28076  mFSP:0  Y:1.82e-08
FSP:28077  mFSP:0  Y:1.20995e-09
FSP:28078  mFSP:0  Y:4.8e-11
FSP:28079  mFSP:0  Y:9.57818e-13
FSP:28080  mFSP:0  Y:1.96e-14
FSP:28082  mFSP:0  Y:0
FSP:29066  mFSP:0  Y:1.55e-09
FSP:29067  mFSP:0  Y:2.08e-08
FSP:29068  mFSP:0  Y:5.32e-08
FSP:29068  mFSP:1  Y:1.44e-07
FSP:29069  mFSP:0  Y:1.27e-06
FSP:29070  mFSP:0  Y:1.14e-06
FSP:29070  mFSP:1  Y:4.05e-06
FSP:29071  mFSP:0  Y:1.473e-05
FSP:29072  mFSP:0  Y:2.726e-05
FSP:29073  mFSP:0  Y:3.926e-05
FSP:29074  mFSP:0  Y:3.649e-05
FSP:29075  mFSP:0  Y:2.219e-05
FSP:29076  mFSP:0  Y:8.33e-06
FSP:29077  mFSP:0  Y:1.84e-06
FSP:29078  mFSP:0  Y:2.65e-07
FSP:29079  mFSP:0  Y:2.4799e-08
FSP:29080  mFSP:0  Y:1.33e-09
FSP:29081  mFSP:0  Y:3.28e-11
FSP:29082  mFSP:0  Y:5.75e-13
FSP:30066  mFSP:0  Y:9.3e-13
FSP:30067  mFSP:0  Y:4.05e-11
FSP:30068  mFSP:0  Y:1.21e-09
FSP:30069  mFSP:0  Y:4.07e-09
FSP:30069  mFSP:1  Y:1.99e-08
FSP:30070  mFSP:0  Y:2.96e-07
FSP:30071  mFSP:0  Y:3.99e-07
FSP:30071  mFSP:1  Y:1.95e-06
FSP:30072  mFSP:0  Y:1.16e-05
FSP:30073  mFSP:0  Y:4.347e-05
FSP:30074  mFSP:0  Y:0.0001055
FSP:30075  mFSP:0  Y:0.00017754
FSP:30076  mFSP:0  Y:0.00019938
FSP:30077  mFSP:0  Y:0.00013488
FSP:30078  mFSP:0  Y:6.572e-05
FSP:30079  mFSP:0  Y:2.096e-05
FSP:30080  mFSP:0  Y:3.79e-06
FSP:30081  mFSP:0  Y:3.3e-07
FSP:30082  mFSP:0  Y:2.07e-08
FSP:30083  mFSP:0  Y:5.06e-10
FSP:30084  mFSP:0  Y:9.08e-12
FSP:30085  mFSP:0  Y:1.93495e-13
FSP:30086  mFSP:0  Y:0
FSP:31066  mFSP:0  Y:0
FSP:31067  mFSP:0  Y:0
FSP:31068  mFSP:0  Y:3.44e-13
FSP:31069  mFSP:0  Y:2.22e-11
FSP:31070  mFSP:0  Y:9.09e-10
FSP:31071  mFSP:0  Y:2.26e-08
FSP:31072  mFSP:1  Y:1.685e-07
FSP:31072  mFSP:0  Y:1.685e-07
FSP:31073  mFSP:0  Y:3.64e-06
FSP:31074  mFSP:1  Y:1.212e-05
FSP:31074  mFSP:0  Y:1.212e-05
FSP:31075  mFSP:0  Y:0.00011035
FSP:31076  mFSP:0  Y:0.00033841
FSP:31077  mFSP:0  Y:0.00062046
FSP:31078  mFSP:0  Y:0.00090325
FSP:31079  mFSP:0  Y:0.00088523
FSP:31080  mFSP:0  Y:0.00050182
FSP:31081  mFSP:0  Y:0.00014615
FSP:31082  mFSP:0  Y:3.148e-05
FSP:31083  mFSP:0  Y:2.88e-06
FSP:31084  mFSP:0  Y:1.96e-07
FSP:31085  mFSP:0  Y:5.00981e-09
FSP:31086  mFSP:0  Y:6.97e-11
FSP:31087  mFSP:0  Y:1.23589e-12
FSP:32066  mFSP:0  Y:0
FSP:32067  mFSP:0  Y:0
FSP:32068  mFSP:0  Y:0
FSP:32069  mFSP:0  Y:0
FSP:32070  mFSP:0  Y:1.25e-13
FSP:32071  mFSP:0  Y:5.11e-12
FSP:32071  mFSP:1  Y:5.11e-12
FSP:32072  mFSP:0  Y:4.96e-10
FSP:32073  mFSP:0  Y:1.42e-08
FSP:32073  mFSP:1  Y:2.91e-09
FSP:32074  mFSP:0  Y:3.52e-07
FSP:32075  mFSP:0  Y:5.87e-07
FSP:32075  mFSP:1  Y:4.31e-06
FSP:32076  mFSP:0  Y:4.475e-05
FSP:32077  mFSP:0  Y:0.00019935
FSP:32077  mFSP:1  Y:2.718e-05
FSP:32078  mFSP:0  Y:0.00092761
FSP:32079  mFSP:1  Y:0.001247
FSP:32079  mFSP:0  Y:0.001247
FSP:32080  mFSP:0  Y:0.00390462
FSP:32081  mFSP:0  Y:0.00339875
FSP:32082  mFSP:0  Y:0.00230605
FSP:32083  mFSP:0  Y:0.00073748
FSP:32084  mFSP:0  Y:0.00018164
FSP:32085  mFSP:0  Y:1.722e-05
FSP:32086  mFSP:0  Y:9.03e-07
FSP:32087  mFSP:0  Y:3.19988e-08
FSP:32088  mFSP:0  Y:7.11e-10
FSP:32089  mFSP:0  Y:8.76712e-12
FSP:32090  mFSP:0  Y:7.88994e-13
FSP:33069  mFSP:0  Y:0
FSP:33071  mFSP:0  Y:0
FSP:33072  mFSP:0  Y:3.18e-14
FSP:33073  mFSP:0  Y:3.64e-12
FSP:33074  mFSP:0  Y:6.66e-11
FSP:33074  mFSP:1  Y:1.8e-10
FSP:33075  mFSP:0  Y:1.14e-08
FSP:33076  mFSP:0  Y:3.5e-07
FSP:33077  mFSP:0  Y:5.54e-06
FSP:33078  mFSP:0  Y:7.153e-05
FSP:33079  mFSP:0  Y:0.00055844
FSP:33080  mFSP:0  Y:0.00236894
FSP:33081  mFSP:0  Y:0.00562827
FSP:33082  mFSP:0  Y:0.00530537
FSP:33082  mFSP:1  Y:0.0053054
FSP:33083  mFSP:0  Y:0.0104146
FSP:33084  mFSP:1  Y:0.00418073
FSP:33084  mFSP:0  Y:0.00418073
FSP:33085  mFSP:0  Y:0.00272403
FSP:33086  mFSP:0  Y:0.00051116
FSP:33087  mFSP:0  Y:6.447e-05
FSP:33088  mFSP:0  Y:5.05e-06
