G4NDL
ENDF/B-VII.1
MT:454  MF:8  AWR:235.012
nBlock:0
energy of incidence neutron:500000          Number of data set followings:1286          interpolation scheme:0
FSP:23066  mFSP:0  Y:5.51216e-18
FSP:23067  mFSP:0  Y:1.14105e-18
FSP:24066  mFSP:0  Y:5.15e-13
FSP:24067  mFSP:0  Y:7.88998e-14
FSP:24068  mFSP:0  Y:0
FSP:24069  mFSP:0  Y:5.4936e-17
FSP:24070  mFSP:0  Y:0
FSP:25066  mFSP:0  Y:9.84011e-11
FSP:25067  mFSP:0  Y:6.19007e-11
FSP:25068  mFSP:0  Y:8.06009e-12
FSP:25069  mFSP:0  Y:1.75997e-12
FSP:25070  mFSP:0  Y:1.17001e-13
FSP:25071  mFSP:0  Y:0
FSP:25072  mFSP:0  Y:9.15126e-17
FSP:25073  mFSP:0  Y:2.29946e-17
FSP:26066  mFSP:0  Y:2.64003e-09
FSP:26067  mFSP:0  Y:4.03005e-09
FSP:26068  mFSP:0  Y:2.10002e-09
FSP:26069  mFSP:0  Y:1.21001e-09
FSP:26070  mFSP:0  Y:3.45004e-10
FSP:26071  mFSP:0  Y:7.38008e-11
FSP:26072  mFSP:0  Y:8.55001e-12
FSP:26073  mFSP:0  Y:1.59e-12
FSP:26074  mFSP:0  Y:1.27001e-13
FSP:26075  mFSP:0  Y:3.30865e-15
FSP:26076  mFSP:0  Y:0
FSP:27066  mFSP:0  Y:1.54002e-09
FSP:27067  mFSP:0  Y:7.70009e-09
FSP:27068  mFSP:0  Y:9.1601e-09
FSP:27069  mFSP:0  Y:1.88002e-08
FSP:27070  mFSP:0  Y:1.36002e-08
FSP:27071  mFSP:0  Y:1.15001e-08
FSP:27072  mFSP:0  Y:3.67004e-09
FSP:27073  mFSP:0  Y:2.94003e-09
FSP:27074  mFSP:0  Y:6.56007e-10
FSP:27075  mFSP:0  Y:1.05998e-10
FSP:27076  mFSP:0  Y:6.84008e-12
FSP:27077  mFSP:0  Y:1.03982e-13
FSP:27078  mFSP:0  Y:8.38063e-15
FSP:27079  mFSP:0  Y:1.3204e-15
FSP:28066  mFSP:0  Y:1.80002e-10
FSP:28067  mFSP:0  Y:2.06002e-09
